name,previous_price [PLN],new_price [PLN],product_quantity,product_weight
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Skinny Cappuccino, 8+8 szt.",25.99,23.99,1,8.0
"Gorąca czekolada w kapsułkach NESCAFÉ® Dolce Gusto® Milky Way, 8 szt.",21.99,21.79,1,8.0
"Gorąca czekolada w kapsułkach NESCAFÉ® Dolce Gusto® Mars, 8 szt.",25.99,23.99,1,8.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Lungo Decaffeinato, 16 szt.",25.99,23.99,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café Au lait, .",104.97,65.97,3,16.0
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® Nesquik, .",104.97,65.97,3,16.0
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Latte Macchiato, 3 x 6 + 6 szt.",104.97,68.97,3,6.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Latte Macchiato, 3 x 8+8 szt.",104.97,65.97,3,8.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cappuccino, 3 x 8+8 szt.",104.97,65.67,3,8.0
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Cappuccino, 3 x 6 + 6 szt.",104.79,71.97,3,6.0
"Kawa w kapsułkach do Nespresso® Mokito Intenso, .",54.0,37.8,3,10.0
"Kawa organiczna ziarnista Redbeans Gold, 1 kg",154.99,92.99,1,1.0
"Kawa mielona Bialetti Perfetto Moka Classico, 250 g",34.99,27.99,1,0.25
"Kawa mielona Bialetti Perfetto Moka Decaf, 250 g",34.99,27.99,1,0.25
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® EXTRA STRONG, 36 szt.",43.99,26.39,1,36.0
"Kapsułki kawy L’OR PAPUA NEW GUINEA, 10 szt.",19.99,18.99,1,10.0
"Kapsułki do kawy L’OR COLOMBIA, 10 szt.",19.99,18.99,1,10.0
"Kapsułki do kawy L’OR FORZA, 10 szt.",17.99,17.09,1,10.0
"Kapsułki do kawy L’OR ARABICA RWENZORI, 10 szt.",19.99,18.99,1,10.0
"Kapsułki do kawy L’OR RISTRETTO, 10 szt.",17.99,17.09,1,10.0
"Kapsułki do kawy L’OR PROFONDO, 10 szt.",17.99,17.09,1,10.0
"Kapsułki do kawy L’OR MATTINATA, 10 szt.",17.99,17.09,1,10.0
"Kawa ziarnista Lavazza Gran Espresso, 1 kg",99.99,94.99,1,1.0
"Kawa ziarnista Lavazza Super Crema, 1 kg",119.99,113.99,1,1.0
"Kawa ziarnista Lavazza Qualita Oro, 1 kg",109.99,104.49,1,1.0
"Kawa ziarnista Tchibo Espresso Milano Style, 1 kg",56.99,54.14,1,1.0
"Kawa ziarnista Tchibo Barista Caffè Crema, 1 kg",71.24,67.68,1,1.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Caramel, 10 szt.",15.19,14.43,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Brasil, 96 szt.",113.99,108.29,1,96.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Brasil, 10 szt.",22.79,21.65,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Intense, 10 szt.",18.99,18.04,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Intense, 96 szt.",109.24,103.78,1,96.0
"Kawa mielona Bialetti Perfetto Moka Chocolate, 250 g",39.99,31.99,1,0.25
"Kawa mielona Bialetti Perfetto Moka Intenso, 250 g",34.99,27.99,1,0.25
"Kawa mielona Bialetti Perfetto Moka Delicato, 250 g",34.99,27.99,1,0.25
"Kawa mielona Bialetti Perfetto Moka Hazelnut, 250 g",39.99,31.99,1,0.25
"Kawa mielona Bialetti Perfetto Moka Vanilla, 250 g",39.99,31.99,1,0.25
