product_name,price_old [PLN],price_netto [PLN],new_price [PLN],package_weight [KG]
Kawa ziarnista BeMyBean Funky Brew,139.0,82.5023,101.47,1.0
Kawa ziarnista BeMyBean Funky Brew,39.0,23.1523,28.47,0.25
Kawa ziarnista BeMyBean Bass Brew,129.0,76.5623,94.17,1.0
Kawa ziarnista BeMyBean Bass Brew,36.0,21.3723,26.28,0.25
Kawa ziarnista BeMyBean Etiopia Daye Bensa,169.0,100.3023,123.37,1.0
Kawa ziarnista BeMyBean Etiopia Daye Bensa,49.0,29.0823,35.77,0.25
Kawa ziarnista BeMyBean Kolumbia Valle del Cauca,129.0,76.5623,94.17,1.0
Kawa ziarnista Java Rwanda Nova Cafe,55.0,37.1123,45.65,0.25
Kawa ziarnista Java Kenia Marumi ESPRESSO,57.5,38.8023,47.73,0.25
Kawa ziarnista Paloma Kolumbia La Loma,72.0,39.2223,48.24,0.2
Kawa ziarnista Paloma Kolumbia Liczi Santa Mónica,112.0,61.0123,75.04,0.2
Kawa ziarnista Roastains Kostaryka Pura Vida FILTR,61.0,34.7223,42.7,0.25
Kawa ziarnista Mott Coffee Gato,19.99,13.0023,15.99,0.25
Kawa ziarnista Hard Beans Toucan Blend 3.0,95.0,65.6523,80.75,1.0
Kawa ziarnista HAYB Mjanma Ywangan,69.0,40.3923,49.68,0.25
Kawa ziarnista HAYB Kolumbia Aponte,55.0,32.2023,39.6,0.25
Kawa ziarnista HAYB Kostaryka Aquiares Estate,69.0,40.3923,49.68,0.25
Kawa ziarnista HAYB Kostaryka Las Lajas Perla Negra,89.0,52.1023,64.08,0.25
Kawa ziarnista HAYB Rwanda Rushashi Natural,60.0,35.1223,43.2,0.25
Kapsułki do Nespresso COFFEE PLANT Smooth Sweet 10x,29.99,17.0723,20.99,0.005
Kapsułki do Nespresso COFFEE PLANT Chocolate Bomb Espresso 10x,29.99,17.0723,20.99,0.005
Kapsułki do Nespresso COFFEE PLANT Intense 10x,29.99,17.0723,20.99,0.005
Kapsułki do Nespresso COFFEE PLANT Kenia Nyeri 10x,29.99,17.0723,20.99,0.005
Kapsułki COFFEE PLANT Etiopia Oromia 10x,29.99,17.0723,20.99,0.005
Kapsułki do Nespresso COFFEE PLANT Kolumbia Los Robles 10x,29.99,17.0723,20.99,0.005
Kapsułki do Nespresso COFFEE PLANT Honduras Marcala 10x,29.99,17.0723,20.99,0.005
Kapsułki COFFEE PLANT Brazylia Lua Roxa 10szt,29.99,17.0723,20.99,
Kawa ziarnista COFFEE PLANT Peru Papagayo Espresso,54.99,31.2923,38.49,0.25
Kawa ziarnista COFFEE PLANT Kenia Nyeri Espresso,199.99,113.8123,139.99,1.0
Kawa ziarnista COFFEE PLANT Kenia Nyeri Espresso,53.99,30.7223,37.79,0.25
Kawa ziarnista COFFEE PLANT Gentle Decaf Espresso,177.99,101.2923,124.59,1.0
Kawa ziarnista COFFEE PLANT Gentle Decaf Espresso,48.99,27.8823,34.29,0.25
Kawa ziarnista COFFEE PLANT Juicy Blast Espresso,48.99,27.8823,34.29,0.25
Kawa ziarnista COFFEE PLANT Floral Essence Espresso,177.99,101.2923,124.59,1.0
Coffeelab Cascara Carmen Estate,36.0,24.8823,30.6,0.2
Kawa ziarnista Coffeelab Kolumbia Wilson Ordonez Geisha,79.0,54.5923,67.15,0.2
Kawa ziarnista Coffeelab Boliwia Asocafe,58.0,40.0823,49.3,0.25
Kawa ziarnista Coffeelab Etiopia Konga Washed,58.0,40.0823,49.3,0.25
Kawa ziarnista COFFEE PLANT Very Berry,23.99,13.6523,16.79,0.1
Kawa ziarnista COFFEE PLANT Flow Juicy Fruit,23.99,13.6523,16.79,0.1
Kawa ziarnista COFFEE PLANT Flow Brownie,21.99,12.5123,15.39,0.1
Kapsułki Tchibo Cafissimo Espresso Irish Cream 10 szt.,16.99,11.4623,14.1,
Kapsułki Tchibo Cafissimo Espresso Cinnamon Roll 10 szt.,16.99,11.4623,14.1,
Kawa ziarnista Java Rwanda Gicumbi Fall Espresso,68.0,45.8923,56.44,0.25
Kawa ziarnista Story Coffee Ethiopia Guji Natural Espresso,165.0,100.6123,123.75,1.0
Kawa ziarnista Story Coffee Ethiopia Guji Natural Espresso,54.0,32.9323,40.5,0.25
ZESTAW Kawa ziarnista Jacobs Barista Editions Crema Italiano + Jacobs Barista Editions Crema + filiżanka do kawy,109.99,80.4823,98.99,
ZESTAW Kawa ziarnista Jacobs Barista Editions Espresso  + Jacobs Barista Edition Espresso Italiano  + filiżanka do kawy,109.99,80.4823,98.99,1.0
ZESTAW Kawa ziarnista Jacobs Barista Editions Crema  + Jacobs Barista Editions Espresso  + filiżanka do kawy,109.99,80.4823,98.99,1.0
Kawa ziarnista ZAO Coffee Kostaryka Palmichal Filtr,64.0,36.4223,44.8,0.25
Kawa ziarnista HAYB Rwanda Mahembe Anaerobic Natural,80.0,46.8323,57.6,0.25
Kawa ziarnista HAYB Honduras Johelyta Natural,55.0,32.2023,39.6,0.25
Kawa ziarnista HAYB Kenya Kiri,65.0,38.0523,46.8,0.25
Kawa ziarnista Trip Coffee Kosmos,31.99,20.8023,25.59,0.25
Kawa ziarnista MRC. Gratulacje!,30.0,18.2923,22.5,0.25
Kawa ziarnista MRC. Dzięki!,33.0,20.1223,24.75,0.25
Kawa ziarnista MRC. Szczęścia!,30.0,18.2923,22.5,0.25
Kawa ziarnista MRC. Lots of love,33.0,20.1223,24.75,0.25
Kawa ziarnista MRC. Strong Shot,110.0,67.0723,82.5,1.0
Kawa ziarnista MRC. Strong Shot,30.0,18.2923,22.5,0.25
Kawa ziarnista MRC. Double Brazil,110.0,67.0723,82.5,1.0
Kawa ziarnista MRC. Double Brazil,30.0,18.2923,22.5,0.25
Kawa ziarnista MRC. House Blend,120.0,73.1723,90.0,1.0
Kawa ziarnista MRC. House Blend,33.0,20.1223,24.75,0.25
Kawa ziarnista Momento Summer Espresso ZZZZZ Rwanda,45.0,25.6123,31.5,0.25
Kawa ziarnista Kafar Brazylia Santa Clara Natural Filtr,55.0,33.5423,41.25,0.25
Kawa ziarnista Świeżo Palona Wakacyjne Espresso Mexico Oaxaca Sierra Mazateca Washed,146.0,94.9623,116.8,1.0
Kawa ziarnista PIXEL Colombia Grano de Oro Heliconia Honey,59.0,38.3723,47.2,0.25
Kawa ziarnista PIXEL Rwanda Nyamasheke Kilimbi Washing Station Honey,59.0,38.3723,47.2,0.25
Kawa ziarnista Momento Coffee Kolumbia Nº9 La Joyería Washed,59.0,33.5823,41.3,0.25
Kawa ziarnista Momento Coffee Rwanda Nº5 Musasa Ruli Washed,59.0,33.5823,41.3,0.25
Kawa ziarnista Momento Coffee Brazylia Nº9 Fazenda Cachoeira da Grama Natural,52.0,29.5923,36.4,0.25
Kawa ziarnista COFFEE PLANT Kostaryka Chirripó Anaerobic,69.0,39.2723,48.3,0.25
Kawa ziarnista COFFEE PLANT Kolumbia Nariño Decaf Bezkofeinowa,55.0,31.3023,38.5,0.25
Kawa ziarnista COFFEE PLANT Kenia Thiururi,62.0,35.2823,43.4,0.25
Kawa ziarnista Java Bolivia Yuira,60.0,40.4923,49.8,0.25
LaCava Juicy Nitro Cold Bru 200ml,8.99,5.8523,7.19,
LaCava Daily Nitro Cold Bru 200ml,8.99,5.8523,7.19,
Kawa ziarnista Paloma Salwador Dossokam,63.0,34.3223,42.21,0.25
Kawa ziarnista Paloma Colombia El Diviso,99.0,53.9323,66.33,0.2
Kawa ziarnista Paloma Costa Rica La Pastora,65.0,35.4123,43.55,0.25
Kawa ziarnista Paloma Ethiopia Adorsi,67.0,36.5023,44.89,0.25
Kawa ziarnista COFFEE PLANT Juicy Blast Espresso,179.99,102.4323,125.99,1.0
