name,price_old,price_new
"Kawa ziarnista Mokito Aromatico, 1 kg",N/A,N/A
"Kawa w kapsułkach do Nespresso® Mokito Armonia, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Mokito Intenso, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Mokito Arabica 100%, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Mokito Intenso, 3 x 10 szt.","54,00","37,80"
"Kawa organiczna ziarnista Redbeans Gold, 1 kg","154,99","92,99"
"Kawa ziarnista Bialetti Venezia Bar, 1 kg",N/A,N/A
"Kawa ziarnista Bialetti Roma Bar, 1 kg",N/A,N/A
"Kawa mielona Bialetti Perfetto Moka Classico, 250 g","34,99","27,99"
"Kawa mielona Bialetti Perfetto Moka Decaf, 250 g","34,99","27,99"
"Kawa w kapsułkach do Nespresso® Charles Liégeois Kivu, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Chiapas, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Noisette, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® NESPRESSO Charles Liégeois Equilibre, 20 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Sublime, 20 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Magnifico, 20 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Padang, 50 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Puissant, 20 szt.",N/A,N/A
"Kawa w saszetkach Charles Liégeois Magnifico, 30 szt.",N/A,N/A
"Kawa w saszetkach Charles Liégeois Équilibré, 40 szt.",N/A,N/A
"Kawa w saszetkach Charles Liégeois Sublime, 40 szt.",N/A,N/A
"Kawa w tabletkach Charles Liégeois Magnifico, 25 szt.",N/A,N/A
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® EXTRA STRONG, 36 szt.","43,99","26,39"
