name,price_old,price_netto,price_new
ZESTAW - COFFEE PLANT Sweet Brazil Shot 250g + Waga Timemore Mini Espresso,"333,86 zł","203,38 zł +23% VAT","250,16 zł"
ZESTAW - Kawa ziarnista Bazzara GRANCAPPUCCINO 3x1kg + szklanki termiczne Cappuccino 210 ml - 4 sztuki,"485,07 zł","304,44 zł +23% VAT","374,46 zł"
Kawa ziarnista Świeżo Palona Ale Owoc! Mexico Oaxaca Sierra Mazateca Washed 250g,"49,50 zł","32,20 zł +23% VAT","39,60 zł"
Kawa ziarnista Świeżo Palona Poranne Przelewki Tanzania Korongo 250g,"49,50 zł","32,20 zł +23% VAT","39,60 zł"
Kawa ziarnista Instytut Kawy Kolumbia La Ricaurte 250g,"79,00 zł","48,17 zł +23% VAT","59,25 zł"
Kawa ziarnista Instytut Kawy Etiopia Shantawene - Bombe 250g,"59,00 zł","35,98 zł +23% VAT","44,25 zł"
Kawa ziarnista Instytut Kawy Rwanda Cafe des Mamas 250g,"54,00 zł","32,93 zł +23% VAT","40,50 zł"
Kawa ziarnista Instytut Kawy Kenia Baragwi Gachami 250g,"59,00 zł","35,98 zł +23% VAT","44,25 zł"
Kawa ziarnista Instytut Kawy Gwatemala Huehuetenango SHB EP 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Instytu Kawy Gwatemala Huehuetenango SHB EP 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Nikaragua Olomega SHG 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Instytut Kawy Nikaragua Olomega SHG 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Kostaryka Tarrazu 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Instytut Kawy Kostaryka Tarrazu 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Kuba Sierra Maestra 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
